cas_dni,x_zeme,y_zeme
351,1.45354e+11,-3.53753e+10
352,1.45941e+11,-3.28702e+10
353,1.46485e+11,-3.03554e+10
354,1.46986e+11,-2.78316e+10
355,1.47443e+11,-2.52995e+10
356,1.47857e+11,-2.276e+10
357,1.48227e+11,-2.02138e+10
358,1.48553e+11,-1.76615e+10
359,1.48835e+11,-1.51041e+10
360,1.49073e+11,-1.25421e+10
361,1.49267e+11,-9.97646e+09
362,1.49416e+11,-7.40785e+09
363,1.49522e+11,-4.83705e+09
364,1.49583e+11,-2.26482e+09
365,1.496e+11,3.08086e+08
